Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ESP,1.0424372396,1.0045671620999999,1.1689365243,1.3137352556,1.2165538434,1.3726015865999999,1.4153601159,1.3634805655000002,1.3962958909999998,1.2168840224,1.1936737779,1.0813785768000002,1.0806112691,0.9435997996,0.8742692758,0.8464094735,,
LKA,,,,,,,,,,,6.1534473215,10.193364892,8.2033244527,7.2678255755,4.6349287261,3.5714373031,,
KNA,9.2762227221,9.1503866038,15.800641055,17.822135092,13.192902219,6.509992839,12.849341470999999,10.569260363,20.86680717,22.660321776999997,16.269090760999998,34.129007649,31.711426023,45.008023169,52.171896738,38.166482195,,
LCA,,,,,,14.639610968,21.402627487,26.169691758000003,22.214680201,22.611852276999997,24.807139616,25.748194631999997,17.180807260999998,22.857276819000003,22.614201719,25.248612761,,
MAF,,,,,,,,,,,,,,,,,,
VCT,18.50361283,22.21214449,8.3349540188,22.241374516999997,12.978705652,18.537227387,11.112448721,18.492834027,16.612215516,25.790763222,23.906946806999997,11.017462678,33.00935265,24.730257011,18.303452946,22.865923371999997,,
SDN,,,,,,,,,,,,,,24.213360951,,,,
SUR,,,,,,4.6,16.686697745,11.871735272999999,12.325390304,9.3261643513,13.819513152999999,12.279343174000001,8.8211770979,8.348444665299999,4.6166186731,,,
SWZ,,,,,,,,,12.399836873,12.870987972,,,,,,,,
SWE,0.9403022494,1.096364692,1.0277917138,1.0505328913,1.1183297982,1.0044973264000001,0.9462632851,1.1121307515,0.9288904169,1.2140835924,0.897075037,1.0230227418,1.2443548315000001,0.8877464145999999,0.9880669437,0.9701816276,,
CHE,1.1683071884,1.1754770559999999,1.2269968068000001,1.0684739998000001,1.247067989,0.9626239623,1.1931209087999999,1.1853934714,0.9990313502,1.0731900683,1.0114622953,0.8033903070999999,0.6780460520999999,0.7130403459,0.6691849891,0.678468717,,
SYR,,,1.9923987296,2.2104791977000002,2.11907493,2.2328501162,2.2850300269,2.1694380648,2.3155951503,2.3660361180000002,2.3263209363999997,2.3572032935,2.7586135508,2.6860619635000003,2.3736217224000002,2.2684284827,,
TJK,7.5319406227,8.2589149356,8.3765321863,8.1457596593,5.848367076900001,4.5846241426,3.7384155247,2.8635932145,2.5880881036,2.221832793,2.432886426,4.3374080447,2.3317696345,1.7634533558,2.1080904975,2.078900224,,
TZA,,,,,,,,,,,,,,24.503363292,,,,
THA,7.6143973938,7.4247263601,7.8560729363999995,8.694399449299999,8.0950331251,8.1418694305,7.8561628600999995,7.0201024765,9.8423936616,6.4683245933,7.205561182,6.966783574,6.5416403580999996,5.8211769025,5.389621611900001,5.2862874773,4.7570033641,
TLS,,,,,,,,,,,,,,6.94605876,,,,
TGO,,,,,,,,,,,,,,10.85369035,,,,
TON,,,,,,,,,,,,,,0.9717228645999999,,,,
TTO,,,,,,9.2875087651,11.642592458,13.137918954000002,17.533583704,19.837909022999998,29.34499835,28.097163171,29.494475255,41.095684577,37.864360283,35.185412963000005,,
TUN,,,,,,,,,,,,,,1.1417613865,,,,
